WP_002725873.1	336479	93.902	82	106	27813	5.33e-40	137
WP_026054882.1	336479	84.932	365	365	27813	0.0	602
WP_002733646.1	336479	95.676	185	185	27813	2.58e-119	369
WP_002733534.1	336479	97.872	329	329	27813	0.0	667
WP_002733534.1	336479	28.990	307	329	27813	5.40e-18	82.4
WP_002733534.1	336479	24.765	319	329	27813	5.80e-12	63.9
WP_002733627.1	336479	92.884	267	267	27813	1.94e-169	516
WP_002740721.1	336479	95.455	330	330	27813	0.0	656
WP_002740721.1	336479	28.990	307	330	27813	9.98e-18	81.6
WP_002740826.1	336479	95.628	366	366	27813	0.0	732
WP_002740826.1	336479	39.726	365	366	27813	2.49e-86	282
WP_002740861.1	336479	95.640	367	367	27813	0.0	739
WP_002740861.1	336479	39.452	365	367	27813	2.25e-86	283
WP_002740729.1	336479	92.096	544	544	27813	0.0	1043
WP_002740998.1	336479	94.717	265	265	27813	5.30e-162	495
WP_032853071.1	336479	93.871	310	310	27813	0.0	613
WP_002740848.1	336479	93.487	261	264	27813	4.64e-167	509
WP_002740917.1	336479	95.475	221	221	27813	3.66e-143	439
WP_002740692.1	336417	26.207	290	283	57646	1.61e-22	94.7
WP_230456811.1	336457	30.588	170	388	90730	5.95e-16	77.4
WP_002740804.1	336441	31.118	331	411	1641	8.63e-41	149
WP_002740724.1	336384	31.299	508	596	54483	1.18e-59	213
WP_002740724.1	336384	27.530	247	596	54483	4.42e-14	73.2
WP_002733611.1	336452	40.556	180	176	10363	1.37e-37	134
WP_016749081.1	336413	28.221	326	313	213374	2.46e-18	83.2
WP_002738232.1	336417	30.081	123	134	57646	8.54e-18	75.9
WP_002744551.1	336479	28.519	270	311	27813	1.01e-12	66.2
WP_002733548.1	336440	23.251	486	485	38081	7.25e-07	49.3
WP_002733638.1	336457	29.341	334	330	90730	7.13e-32	123
WP_002733599.1	336508	29.412	391	381	87371	9.56e-42	154
WP_002740722.1	336417	32.239	335	344	57646	4.24e-51	180
WP_002740722.1	336417	28.485	330	344	57646	4.84e-20	89.0
WP_002740926.1	336479	24.701	251	351	27813	1.23e-10	60.5
WP_002740726.1	336417	34.043	329	753	57646	4.30e-42	163
WP_002740726.1	336417	25.581	344	753	57646	8.67e-12	66.2
WP_002740808.1	336398	29.688	128	229	109757	5.02e-08	50.4
WP_139363593.1	336386	85.294	102	269	501	4.31e-77	181
WP_139363593.1	336386	83.333	72	269	501	4.31e-77	122
WP_002740041.1	336445	27.273	231	281	53086	1.32e-13	68.2
WP_002740235.1	336510	24.171	211	372	52291	2.49e-07	50.1
WP_002733600.1	336398	28.063	253	255	109757	1.02e-26	106
WP_002733582.1	336482	36.310	168	243	123188	1.33e-27	108
WP_002738295.1	336479	24.303	251	257	27813	8.91e-12	62.4
WP_002733757.1	336413	26.786	336	363	213374	7.38e-24	100
WP_002733546.1	336479	24.815	270	317	27813	1.06e-19	87.4
WP_002733546.1	336479	25.275	273	317	27813	2.67e-06	46.2
WP_002733661.1	336406	29.612	206	298	108953	6.84e-20	87.4
WP_002733553.1	336417	91.755	376	376	57646	0.0	724
WP_002733572.1	336417	90.984	366	368	57646	0.0	694
WP_002721301.1	336417	96.011	376	376	57646	0.0	752
WP_002721297.1	336417	93.165	395	395	57646	0.0	754
WP_002733636.1	336417	95.012	421	421	57646	0.0	831
WP_002733711.1	336417	81.643	414	414	57646	1.13e-177	547
WP_002740298.1	336417	88.864	449	449	57646	0.0	790
WP_050547976.1	336417	73.288	292	295	57646	1.24e-146	452
WP_002727923.1	336417	90.580	138	143	57646	6.15e-85	268
WP_002740294.1	336417	85.950	363	363	57646	0.0	665
WP_002740294.1	336417	25.341	367	363	57646	5.55e-28	113
WP_002727913.1	336417	38.596	228	265	57646	3.22e-45	160
WP_002742128.1	336452	67.897	271	281	10363	7.21e-131	406
WP_002742128.1	336452	26.636	214	281	10363	2.24e-13	67.4
WP_002740063.1	336452	85.948	306	306	10363	0.0	552
WP_002740024.1	336452	92.857	336	349	10363	0.0	667
WP_002727921.1	336452	95.918	294	294	10363	0.0	575
WP_002727925.1	336452	86.111	324	324	10363	0.0	600
WP_002733618.1	336452	88.779	303	303	10363	0.0	558
WP_002727927.1	336468	83.688	282	282	18106	1.27e-163	500
WP_228029599.1	336468	86.111	252	277	18106	3.07e-133	413
WP_228029599.1	336468	38.095	63	277	18106	1.54e-05	43.5
WP_000715958.1	336479	100.000	131	131	27813	4.73e-85	268
WP_000275679.1	336441	30.871	379	416	1641	4.01e-47	167
WP_000834719.1	336384	34.518	394	605	54483	4.05e-54	197
WP_000834719.1	336384	27.848	237	605	54483	5.71e-11	63.2
WP_000799637.1	336417	31.655	139	142	57646	3.81e-19	80.1
WP_001206408.1	336417	25.714	140	244	57646	5.01e-07	47.8
WP_000579813.1	336434	32.484	314	315	52055	3.63e-40	147
WP_000132018.1	336398	32.075	106	228	109757	6.61e-11	58.9
WP_000947841.1	336508	28.982	383	387	87371	8.34e-36	137
WP_000823146.1	336417	26.897	145	387	57646	1.68e-04	41.2
WP_002115474.1	336457	27.419	186	287	90730	6.34e-09	54.3
WP_000231290.1	336384	41.176	68	198	54483	1.04e-09	54.7
WP_000848236.1	336398	36.694	248	251	109757	9.78e-34	126
WP_002115390.1	336413	30.645	248	257	213374	1.56e-22	94.0
WP_000661931.1	336445	21.959	296	320	53086	1.13e-08	53.9
WP_000675255.1	336497	28.378	296	332	63326	6.39e-27	109
WP_000601375.1	336479	25.091	275	317	27813	6.82e-19	85.1
WP_000601375.1	336479	26.545	275	317	27813	1.77e-04	40.4
WP_000007540.1	336412	33.562	146	287	112364	6.22e-06	44.7
WP_061294270.1	336417	64.095	674	670	57646	0.0	749
WP_000050434.1	336417	99.681	313	313	57646	0.0	648
WP_001084686.1	336417	99.327	297	297	57646	0.0	603
WP_000600954.1	336417	99.623	265	265	57646	6.97e-175	532
WP_004503036.1	336479	67.547	265	265	27813	4.01e-112	352
WP_004503130.1	336479	77.143	140	146	27813	1.67e-47	161
WP_004503087.1	336446	71.154	208	308	11147	6.46e-92	258
WP_004503087.1	336446	70.312	64	308	11147	6.46e-92	95.1
WP_004503087.1	336446	45.000	120	308	11147	5.11e-17	79.0
WP_061236010.1	336384	35.369	393	595	54483	3.28e-63	224
WP_061236010.1	336384	33.908	174	595	54483	2.70e-14	73.9
WP_061236010.1	336384	24.590	183	595	54483	5.86e-06	46.6
WP_061236010.1	336384	27.389	157	595	54483	1.16e-05	45.8
WP_198288176.1	336417	23.256	344	387	57646	1.12e-04	41.6
WP_004503102.1	336417	34.268	321	339	57646	1.30e-54	190
WP_004503102.1	336417	27.052	329	339	57646	1.17e-17	81.6
WP_004503046.1	336479	26.496	117	346	27813	3.40e-06	46.2
WP_025185097.1	336383	39.726	73	115	35511	5.57e-04	35.4
WP_004503514.1	336419	28.505	214	365	62374	1.40e-19	88.2
WP_239248154.1	336412	31.818	352	360	112364	4.80e-43	157
WP_239248155.1	336497	28.261	276	331	63326	7.31e-20	88.2
WP_016759267.1	336412	26.000	200	288	112364	2.67e-07	49.3
WP_004498219.1	336417	83.432	338	343	57646	0.0	590
WP_239248166.1	336417	77.736	265	265	57646	6.78e-142	437
WP_061217842.1	336452	83.456	272	274	10363	2.11e-158	485
WP_061217842.1	336452	26.512	215	274	10363	2.43e-13	67.4
WP_239248167.1	336468	75.887	282	282	18106	9.45e-148	455
WP_000776640.1	336479	38.026	547	538	27813	8.71e-98	322
WP_000093099.1	336479	46.988	83	99	27813	2.92e-16	69.7
WP_223809837.1	336497	72.249	209	213	63326	1.20e-100	316
WP_001106774.1	336441	29.365	378	417	1641	7.51e-43	155
WP_000525968.1	336417	46.459	353	359	57646	2.72e-94	305
WP_002078515.1	336417	96.667	30	50	57646	3.59e-18	59.3
WP_002078515.1	336417	100.000	20	50	57646	3.59e-18	44.3
WP_002733615.1	336446	54.598	174	177	11147	1.96e-64	211
WP_002733621.1	336402	78.571	28	52	21959	3.43e-09	47.4
WP_039942433.1	336446	56.030	398	408	11147	3.24e-152	474
WP_039942433.1	336446	23.822	382	408	11147	7.92e-26	107
WP_244265121.1	336441	30.872	298	302	1641	8.17e-38	138
WP_010578390.1	336398	35.322	419	603	109757	1.31e-53	195
WP_010578390.1	336398	27.027	222	603	109757	8.29e-10	59.3
WP_010578389.1	336406	52.632	38	186	108953	6.17e-04	37.0
WP_010578386.1	336398	27.848	158	210	109757	5.28e-09	52.8
WP_039942517.1	336472	32.800	125	235	33622	6.35e-10	56.2
WP_010578367.1	336417	32.164	342	357	57646	6.29e-42	154
WP_010578367.1	336417	26.627	338	357	57646	4.87e-16	77.0
WP_020984998.1	336417	23.529	170	390	57646	1.93e-07	50.4
WP_010578352.1	336417	48.936	235	279	57646	1.63e-70	233
WP_010578351.1	336417	35.593	236	255	57646	9.57e-46	160
WP_020984884.1	336510	25.967	181	346	52291	4.80e-05	42.4
WP_020984929.1	336457	34.322	236	243	90730	3.13e-33	124
WP_020985009.1	336412	31.646	316	357	112364	1.68e-37	140
WP_010578338.1	336417	62.345	725	722	57646	0.0	712
WP_020985003.1	336417	76.263	396	431	57646	1.45e-171	530
WP_020985010.1	336452	62.821	546	593	10363	0.0	698
WP_020985010.1	336452	28.302	212	593	10363	3.36e-15	76.6
WP_000667982.1	336441	30.120	332	414	1641	1.09e-37	140
WP_241468521.1	336385	78.261	46	170	50822	1.34e-14	68.2
WP_241468521.1	336385	78.261	46	170	50822	5.00e-14	66.2
WP_241468521.1	336385	76.087	46	170	50822	8.89e-14	65.5
WP_241468521.1	336385	76.087	46	170	50822	8.89e-14	65.5
WP_241468521.1	336385	76.087	46	170	50822	8.89e-14	65.5
WP_241468521.1	336385	76.087	46	170	50822	8.89e-14	65.5
WP_241468521.1	336385	76.087	46	170	50822	8.89e-14	65.5
WP_241468521.1	336385	76.087	46	170	50822	8.89e-14	65.5
WP_241468521.1	336385	78.261	46	170	50822	1.86e-13	64.7
WP_241468521.1	336385	78.261	46	170	50822	6.90e-13	63.2
WP_241468521.1	336385	78.261	46	170	50822	6.90e-13	63.2
WP_241468521.1	336385	71.053	38	170	50822	2.52e-09	52.8
WP_240738570.1	336399	82.143	140	380	54440	1.35e-68	232
WP_240738570.1	336399	97.297	37	380	54440	1.17e-16	79.3
WP_241468520.1	336385	75.610	41	67	50822	9.57e-11	52.4
WP_241468520.1	336385	75.000	36	67	50822	1.02e-08	46.6
WP_003009804.1	336479	37.132	544	538	27813	1.82e-97	322
WP_003009905.1	336479	81.250	144	145	27813	3.13e-76	243
WP_003009428.1	336405	30.183	328	664	9538	1.49e-14	74.7
WP_003009953.1	336446	53.448	174	177	11147	2.53e-63	207
WP_036096972.1	336482	27.530	247	241	123188	3.25e-13	66.2
WP_230458349.1	336441	30.133	375	418	1641	1.59e-40	149
WP_003009503.1	336384	33.509	379	598	54483	4.80e-56	202
WP_003009503.1	336384	28.571	252	598	54483	6.81e-16	79.0
WP_003009636.1	336446	31.510	384	410	11147	1.28e-55	195
WP_003009636.1	336446	26.374	364	410	11147	6.20e-24	102
WP_003009665.1	336413	26.994	326	317	213374	9.38e-11	60.1
WP_036096962.1	336417	31.707	123	134	57646	5.37e-18	76.3
WP_003009573.1	336479	31.111	315	330	27813	3.60e-38	142
